"Census","Survey","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Fruit","Category","Item","Metric","Domain","Total","Domain Category","Value","CV (%)","Use","Name","Code"
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","10","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","8","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","8","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LAUDERDALE","077","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1",NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"LIMESTONE","083","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1",NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","ACRES NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2",NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MADISON","089","OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2",NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","13.2",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","ACRES NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","3","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","6","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MARION","093","OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","3","47.6",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","61","13.2",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","61","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","13","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","NORTHERN VALLEY",10,"MORGAN","103","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","13","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","ACRES NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"BIBB","007","OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1","47.6",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","16","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","ACRES NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","4","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","4","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CHILTON","021","OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","47.6",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","8","13.2",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","8","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","8","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"CLAY","027","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","8","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","8","13.2",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","8","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","5","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"JEFFERSON","073","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","5","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,"13.2",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,"15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","4","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"RANDOLPH","111","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","4","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","3","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","ACRES NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","3","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","3","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"SHELBY","117","OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1","47.6",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1",NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TALLADEGA","121","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1",NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA","125","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT",30,"TUSCALOOSA","125","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
